alu1,alu2,alu3,alu4,alu5,class
0.000153,0.00032,894,0.013634,0.01708,1
0,0,171,0.619565,0.032491,1
0,0,114,0.082014,0.049605,1
0.000255,0.000204,81,0.004124,0,1
0.000378,0.000378,255,0.016053,0.026312,1
0,0,132,0.047878,0,1
0.000876,0.000438,618,0.270815,0,1
0.000613,0.000521,66,0.00086,0.022835,1
0.000668,0.000668,213,0.14219,0.028019,1
0.000832,0,165,0.068607,0.015794,1
0,0.000241,78,0.009391,0.019983,1
0,0,237,0.154196,0,1
0,0,258,0.053538,0,1
0,0.009615,129,0.620192,0.143541,1
0.000066,0.000132,75,0.00496,0,1
0,0,111,0.149394,0.025538,1
0.000065,0.000259,189,0.012244,0.018268,1
0.000341,0.000227,336,0.019076,0.022935,1
0,0,342,0.308108,0,1
0.000135,0.000315,183,0.008234,0.000045,1
0.000085,0.000255,285,0.008086,0.012654,1
0.000022,0.000086,249,0.005382,0.027861,1
0,0,1782,0.96533,0,1
0,0,174,0.304729,0,1
0,0,96,0.040523,0,1
0,0.000252,138,0.017363,0.020003,1
0.000625,0.000625,162,0.050609,0.023423,1
0.000211,0.000843,720,0.075829,0,1
0,0,306,0.211326,0.031056,1
0,0,246,0.109723,0,1
0,0,75,0.04223,0,1
0.001401,0,135,0.189076,0.022378,1
0.000283,0.000661,99,0.004674,0,1
0.000592,0.000592,114,0.067536,0,1
0,0,579,1,0.008621,1
0,0,459,0.995662,0,1
0.000397,0.001589,321,0.127533,0.018268,1
0,0,789,0.52882,0,1
0,0.000538,195,0.104839,0,1
0,0,204,0.809524,0,1
0,0.000378,210,0.039668,0,1
0.000077,0.000115,27,0.001036,0.017988,1
0.000305,0.000305,333,0.101401,0,1
0,0,63,0.033002,0,1
0,0,237,0.341007,0,1
0,0,132,0.248588,0.011278,1
0,0,156,0.017725,0,1
0,0.000545,273,0.148855,0,1
0.000635,0.000318,114,0.036213,0,1
0,0,9,0.045,0.014925,1
0,0,348,0.24234,0.018093,1
0,0.000373,270,0.025203,0,1
0,0,285,0.547025,0,1
0.000117,0.000235,333,0.039057,0,1
0.000503,0,150,0.025164,0,1
0,0,354,0.207746,0.001173,1
0.000125,0.000187,159,0.009921,0.018906,1
